model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
lightgbm,general_ev,0.001,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.001,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.001,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.001,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.001,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.001,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.01,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.01,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.01,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.01,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.01,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.01,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.05,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.05,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.05,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.05,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.05,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.05,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.1,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.1,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.1,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.1,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
