model,strategy,initial_capital,max_bet_pct,liquidity_scaler,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
random_forest,general_ev_late,100000,0.01,0.1,1898,467,96475.38504736846,-0.03524614952631542,3524.614952631542,0,0
random_forest,general_ev_late,100000,0.05,1.0,1898,1058,86505.06052631584,-0.13494939473684164,13494.939473684164,0,0
random_forest,general_ev_late,100000,0.05,0.1,1898,467,96475.38504736846,-0.03524614952631542,3524.614952631542,0,0
random_forest,general_ev_late,100000,0.1,1.0,1898,1058,86505.06052631584,-0.13494939473684164,13494.939473684164,0,0
random_forest,general_ev_late,100000,0.1,0.1,1898,467,96475.38504736846,-0.03524614952631542,3524.614952631542,0,0
hist_gbm,general_ev,1000,0.01,1.0,112031,509,378.040034461198,-0.621959965538802,633.4089604184987,0,81371
hist_gbm,general_ev,1000,0.01,0.1,112031,584,371.3488065254955,-0.6286511934745045,628.6511934745045,0,83911
hist_gbm,general_ev,1000,0.05,1.0,112031,283,250.58806298073233,-0.7494119370192677,751.0054468933653,0,103192
hist_gbm,general_ev,1000,0.05,0.1,112031,431,241.44984120635436,-0.7585501587936456,758.5501587936457,0,89447
hist_gbm,general_ev,1000,0.1,1.0,112031,217,225.1538207559184,-0.7748461792440817,774.8461792440817,0,98223
hist_gbm,general_ev,1000,0.1,0.1,112031,386,221.80758877940667,-0.7781924112205933,778.1924112205934,0,101046
hist_gbm,general_ev,10000,0.01,1.0,112031,2199,2611.7349659525175,-0.7388265034047483,7388.265034047483,0,101857
hist_gbm,general_ev,10000,0.01,0.1,112031,2565,1693.349155121381,-0.8306650844878619,8306.650844878619,0,96058
hist_gbm,general_ev,10000,0.05,1.0,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893,0,101976
hist_gbm,general_ev,10000,0.05,0.1,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537,0,97011
hist_gbm,general_ev,10000,0.1,1.0,112031,1328,2238.595661615868,-0.7761404338384132,7761.404338384133,0,101578
hist_gbm,general_ev,10000,0.1,0.1,112031,1988,1319.48820943023,-0.8680511790569769,8680.51179056977,0,97047
hist_gbm,general_ev,100000,0.01,1.0,112031,7369,26417.1769936953,-0.7358282300630471,73582.82300630471,0,98111
hist_gbm,general_ev,100000,0.01,0.1,112031,11825,56671.895439405635,-0.43328104560594366,43328.104560594365,0,43742
hist_gbm,general_ev,100000,0.05,1.0,112031,7349,23699.049211412643,-0.7630095078858736,76300.95078858736,0,98140
hist_gbm,general_ev,100000,0.05,0.1,112031,11825,56671.895439405635,-0.43328104560594366,43328.104560594365,0,43742
hist_gbm,general_ev,100000,0.1,1.0,112031,7349,23478.22718510045,-0.7652177281489955,76521.77281489955,0,98140
hist_gbm,general_ev,100000,0.1,0.1,112031,11825,56671.895439405635,-0.43328104560594366,43328.104560594365,0,43742
hist_gbm,home_run,1000,0.01,1.0,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.01,0.1,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.05,1.0,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.05,0.1,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.1,1.0,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.1,0.1,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.01,1.0,0,0,10000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.01,0.1,0,0,10000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.05,1.0,0,0,10000.0,0.0,0.0,0,0
